Location,Period,Sexes,Alcohol,Tobacco,Suicide
Belarus,2005,Female,7.4,11.8,14.5
Belarus,2000,Both sexes,15.17,37.3,43.1
Belarus,2000,Male,24.47,62.1,76.6
Belarus,2000,Female,7.26,12.4,13.5
Belgium,2018,Both sexes,11.08,25,NA
Belgium,2018,Male,17.15,26.9,NA
Belgium,2018,Female,5.27,23.1,NA
Belgium,2015,Both sexes,11.82,25.7,20.1
Belgium,2015,Male,18.33,27.9,27
Belgium,2015,Female,5.62,23.4,13.4
Belgium,2010,Both sexes,11.4,27,21.3
Belgium,2010,Male,17.71,30,29.3
Belgium,2010,Female,5.4,24,13.6
Belgium,2005,Both sexes,13.13,28.5,21.2
Belgium,2005,Male,20.31,32.3,30.6
Belgium,2005,Female,6.34,24.7,12.1
Belgium,2000,Both sexes,12.49,29.9,22.7
Belgium,2000,Male,19.41,34.7,31.9
Belgium,2000,Female,5.96,25.2,14
Belize,2018,Both sexes,6.22,NA,NA
Belize,2018,Male,9.94,NA,NA
Belize,2018,Female,2.59,NA,NA
Belize,2015,Both sexes,6.74,NA,4.8
Belize,2015,Male,10.76,NA,7.9
Belize,2015,Female,2.8,NA,1.7
Belize,2010,Both sexes,7.08,NA,4.9
Belize,2010,Male,11.25,NA,8
Belize,2010,Female,2.95,NA,1.9
Belize,2005,Both sexes,7.16,NA,4.9
Belize,2005,Male,11.33,NA,8
Belize,2005,Female,2.98,NA,1.9
Belize,2000,Both sexes,5.55,NA,5.5
Belize,2000,Male,8.79,NA,9
Belize,2000,Female,2.29,NA,2
Benin,2018,Both sexes,2.81,7.2,NA
Benin,2018,Male,4.53,12.4,NA
Benin,2018,Female,1.14,1.9,NA
Benin,2015,Both sexes,2.97,8.3,9.9
Benin,2015,Male,4.79,14.2,13.9
Benin,2015,Female,1.21,2.3,6
Benin,2010,Both sexes,2.47,10.4,9.6
Benin,2010,Male,4,17.6,13.4
Benin,2010,Female,1.01,3.2,5.9
Benin,2005,Both sexes,2.23,13.3,9.7
Benin,2005,Male,3.62,22.1,13.5
Benin,2005,Female,0.92,4.5,6.1
Benin,2000,Both sexes,2.46,17.1,9.5
Benin,2000,Male,4,27.7,13.2
Benin,2000,Female,1.02,6.4,6
Bhutan,2018,Both sexes,0.43,NA,NA
Bhutan,2018,Male,0.67,NA,NA
Bhutan,2018,Female,0.16,NA,NA
Bhutan,2015,Both sexes,0.42,NA,11.6
Bhutan,2015,Male,0.65,NA,14.1
Bhutan,2015,Female,0.15,NA,8.7
Bhutan,2010,Both sexes,0.92,NA,11.1
Bhutan,2010,Male,1.43,NA,13.4
Bhutan,2010,Female,0.33,NA,8.4
Bhutan,2005,Both sexes,1.6,NA,12.2
Bhutan,2005,Male,2.51,NA,14.9
Bhutan,2005,Female,0.57,NA,9.2
Bhutan,2000,Both sexes,2.77,NA,12.4
Bhutan,2000,Male,4.43,NA,15.2
Bhutan,2000,Female,0.99,NA,9.6
Bolivia (Plurinational State of),2018,Both sexes,4.43,NA,NA
Bolivia (Plurinational State of),2018,Male,6.8,NA,NA
Bolivia (Plurinational State of),2018,Female,2.09,NA,NA
Bolivia (Plurinational State of),2015,Both sexes,4.64,NA,12.4
Bolivia (Plurinational State of),2015,Male,7.12,NA,15.9
Bolivia (Plurinational State of),2015,Female,2.19,NA,8.8
Bolivia (Plurinational State of),2010,Both sexes,5.56,NA,14.1
Bolivia (Plurinational State of),2010,Male,8.55,NA,17.7
Bolivia (Plurinational State of),2010,Female,2.61,NA,10.4
Bolivia (Plurinational State of),2005,Both sexes,4.37,NA,15.3
Bolivia (Plurinational State of),2005,Male,6.71,NA,19.2
Bolivia (Plurinational State of),2005,Female,2.06,NA,11.4
Bolivia (Plurinational State of),2000,Both sexes,3.44,NA,16.4
Bolivia (Plurinational State of),2000,Male,5.28,NA,20
Bolivia (Plurinational State of),2000,Female,1.63,NA,12.7
Bosnia and Herzegovina,2018,Both sexes,7.15,38.3,NA
Bosnia and Herzegovina,2018,Male,11.83,46.3,NA
Bosnia and Herzegovina,2018,Female,2.7,30.2,NA
Bosnia and Herzegovina,2015,Both sexes,6.92,39.6,8.9
Bosnia and Herzegovina,2015,Male,11.46,48,14.3
Bosnia and Herzegovina,2015,Female,2.62,31.1,3.7
Bosnia and Herzegovina,2010,Both sexes,7.32,41.4,8
Bosnia and Herzegovina,2010,Male,12.09,50.7,12.9
Bosnia and Herzegovina,2010,Female,2.81,32.1,3.3
Bosnia and Herzegovina,2005,Both sexes,7.2,43.7,9.3
Bosnia and Herzegovina,2005,Male,11.9,54,15
Bosnia and Herzegovina,2005,Female,2.75,33.4,3.7
Bosnia and Herzegovina,2000,Both sexes,6.37,46.3,10.7
Bosnia and Herzegovina,2000,Male,10.56,57.7,17.3
Bosnia and Herzegovina,2000,Female,2.42,35,4.4
Botswana,2018,Both sexes,6.59,23.7,NA
Botswana,2018,Male,10.85,37.3,NA
Botswana,2018,Female,2.51,10.1,NA
Botswana,2015,Both sexes,6.86,24.6,9.7
Botswana,2015,Male,11.31,37.2,14.8
Botswana,2015,Female,2.6,11.9,4.6
Botswana,2010,Both sexes,8.62,26.4,11.1
Botswana,2010,Male,14.22,37.3,17.1
Botswana,2010,Female,3.25,15.5,5.3
Botswana,2005,Both sexes,9.61,28.9,12.6
Botswana,2005,Male,15.85,37.5,20.4
Botswana,2005,Female,3.65,20.4,5
Botswana,2000,Both sexes,9.05,32.1,11.8
Botswana,2000,Male,15.02,37.7,19.7
Botswana,2000,Female,3.39,26.6,4.1
Brazil,2018,Both sexes,7.42,16.5,NA
Brazil,2018,Male,11.82,21.5,NA
Brazil,2018,Female,3.26,11.5,NA
Brazil,2015,Both sexes,7.86,18.5,6.5
Brazil,2015,Male,12.5,24,9.9
Brazil,2015,Female,3.46,13,3.2
Brazil,2010,Both sexes,8.49,22.3,5.7
Brazil,2010,Male,13.48,28.8,8.7
Brazil,2010,Female,3.76,15.9,2.8
Brazil,2005,Both sexes,8.32,27,5.5
Brazil,2005,Male,13.22,34.6,8.5
Brazil,2005,Female,3.66,19.5,2.5
Brazil,2000,Both sexes,8.78,32.8,4.8
Brazil,2000,Male,13.93,41.6,7.6
Brazil,2000,Female,3.88,24.1,2
Brunei Darussalam,2018,Both sexes,0.48,15.5,NA
Brunei Darussalam,2018,Male,0.72,28.6,NA
Brunei Darussalam,2018,Female,0.22,2.5,NA
Brunei Darussalam,2015,Both sexes,0.46,15.7,4.5
Brunei Darussalam,2015,Male,0.69,28.7,6.2
Brunei Darussalam,2015,Female,0.22,2.8,2.6
Brunei Darussalam,2010,Both sexes,0.51,16.1,3.7
Brunei Darussalam,2010,Male,0.76,28.9,5.3
Brunei Darussalam,2010,Female,0.24,3.3,2
Brunei Darussalam,2005,Both sexes,0.21,16.7,3.3
Brunei Darussalam,2005,Male,0.31,29.4,4.8
Brunei Darussalam,2005,Female,0.1,4,1.7
Brunei Darussalam,2000,Both sexes,0.23,17.4,2.8
Brunei Darussalam,2000,Male,0.34,29.8,4.1
Brunei Darussalam,2000,Female,0.11,4.9,1.4
Bulgaria,2018,Both sexes,12.65,38.9,NA
Bulgaria,2018,Male,20.17,42.5,NA
Bulgaria,2018,Female,5.68,35.3,NA
Bulgaria,2015,Both sexes,12.34,40.5,11.4
Bulgaria,2015,Male,19.69,45.3,18.1
Bulgaria,2015,Female,5.52,35.7,5.1
Bulgaria,2010,Both sexes,11.32,43.1,12.5
Bulgaria,2010,Male,18.02,49.4,19.4
Bulgaria,2010,Female,5.06,36.8,6
Bulgaria,2005,Both sexes,11.42,46.1,13.4
Bulgaria,2005,Male,18.24,54.5,20.3
Bulgaria,2005,Female,5.07,37.7,6.7
Bulgaria,2000,Both sexes,11.8,49.6,18.5
Bulgaria,2000,Male,18.93,59.9,27.2
Bulgaria,2000,Female,5.15,39.2,10.2
Burkina Faso,2018,Both sexes,12.03,16,NA
Burkina Faso,2018,Male,20.17,24.9,NA
Burkina Faso,2018,Female,4.2,7.2,NA
Burkina Faso,2015,Both sexes,11.83,17.4,7.7
Burkina Faso,2015,Male,19.87,25.9,10.2
Burkina Faso,2015,Female,4.14,8.9,5.3
Burkina Faso,2010,Both sexes,8.58,20.4,7.5
Burkina Faso,2010,Male,14.49,28.1,10.3
Burkina Faso,2010,Female,3.02,12.7,4.8
Burkina Faso,2005,Both sexes,9.19,24.4,7.6
Burkina Faso,2005,Male,15.57,30.5,10.6
Burkina Faso,2005,Female,3.3,18.4,4.7
Burkina Faso,2000,Both sexes,8.4,29.9,8.2
Burkina Faso,2000,Male,14.26,33.2,11.7
Burkina Faso,2000,Female,3.04,26.6,4.8
Burundi,2018,Both sexes,7.19,12.6,NA
Burundi,2018,Male,11.86,18.8,NA
Burundi,2018,Female,2.79,6.4,NA
Burundi,2015,Both sexes,7.03,13.6,8.9
Burundi,2015,Male,11.59,20.1,13.1
Burundi,2015,Female,2.74,7.2,4.8
Burundi,2010,Both sexes,7.66,15.5,9
Burundi,2010,Male,12.61,22.3,12.9
Burundi,2010,Female,2.98,8.7,5.2
Burundi,2005,Both sexes,8.44,17.8,8.4
Burundi,2005,Male,13.86,24.9,11.5
Burundi,2005,Female,3.3,10.7,5.5
Burundi,2000,Both sexes,9.82,20.6,7.1
Burundi,2000,Male,16.16,28.1,9.4
Burundi,2000,Female,3.86,13.1,4.8
Cabo Verde,2018,Both sexes,5.6,NA,NA
Cabo Verde,2018,Male,8.81,NA,NA
Cabo Verde,2018,Female,2.44,NA,NA
Cabo Verde,2015,Both sexes,5.95,NA,11
Cabo Verde,2015,Male,9.37,NA,16.1
Cabo Verde,2015,Female,2.59,NA,6.1
Cabo Verde,2010,Both sexes,7.51,NA,11.1
Cabo Verde,2010,Male,11.83,NA,15.7
Cabo Verde,2010,Female,3.3,NA,6.6
Cabo Verde,2005,Both sexes,6.95,NA,10.1
Cabo Verde,2005,Male,11.1,NA,14.2
Cabo Verde,2005,Female,3.12,NA,6.1
Cabo Verde,2000,Both sexes,6.03,NA,9.4
Cabo Verde,2000,Male,9.78,NA,13.3
Cabo Verde,2000,Female,2.73,NA,5.7
Cambodia,2018,Both sexes,6.64,21.8,NA
Cambodia,2018,Male,10.9,37.4,NA
Cambodia,2018,Female,2.72,6.3,NA
Cambodia,2015,Both sexes,6.37,24.8,5.3
Cambodia,2015,Male,10.46,41.9,7.8
Cambodia,2015,Female,2.63,7.6,2.9
Cambodia,2010,Both sexes,4.91,30.6,5.4
Cambodia,2010,Male,8.08,50.5,7.8
Cambodia,2010,Female,2.04,10.7,3.2
Cambodia,2005,Both sexes,2.69,37.4,5.9
Cambodia,2005,Male,4.41,59.8,8.3
Cambodia,2005,Female,1.14,15.1,3.6
Cambodia,2000,Both sexes,1.87,44.4,5.6
Cambodia,2000,Male,3.08,67.7,7.7
Cambodia,2000,Female,0.79,21.2,3.6
Cameroon,2018,Both sexes,5.65,9.3,NA
Cameroon,2018,Male,8.96,17.5,NA
Cameroon,2018,Female,2.36,1.2,NA
Cameroon,2015,Both sexes,6.17,9.4,12.3
Cameroon,2015,Male,9.8,17.5,17.3
Cameroon,2015,Female,2.59,1.3,7.3
Cameroon,2010,Both sexes,8.43,9.6,11.7
Cameroon,2010,Male,13.39,17.5,16.4
Cameroon,2010,Female,3.53,1.7,6.9
Cameroon,2005,Both sexes,7.62,9.8,11.9
Cameroon,2005,Male,12.14,17.5,16.4
Cameroon,2005,Female,3.18,2.2,7.3
Cameroon,2000,Both sexes,6.69,10.2,13.3
Cameroon,2000,Male,10.7,17.6,17.9
Cameroon,2000,Female,2.78,2.8,8.8
Canada,2018,Both sexes,8.94,17.5,NA
Canada,2018,Male,13.95,22.7,NA
Canada,2018,Female,4.07,12.4,NA
Canada,2015,Both sexes,8.88,20,12.5
Canada,2015,Male,13.87,25.6,18.2
Canada,2015,Female,4.04,14.4,7
Canada,2010,Both sexes,10.1,24.7,13
Canada,2010,Male,15.76,30.9,19
Canada,2010,Female,4.61,18.5,7.1
Central African Republic,2018,Both sexes,2.38,NA,NA
Central African Republic,2018,Male,3.85,NA,NA
Central African Republic,2018,Female,0.98,NA,NA
Central African Republic,2015,Both sexes,2.43,NA,8.1
Central African Republic,2015,Male,3.92,NA,11.9
Central African Republic,2015,Female,0.99,NA,4.3
Central African Republic,2010,Both sexes,3.98,NA,9.5
Central African Republic,2010,Male,6.43,NA,13.9
Central African Republic,2010,Female,1.63,NA,5.1
Central African Republic,2005,Both sexes,3.62,NA,8.8
Central African Republic,2005,Male,5.85,NA,13
Central African Republic,2005,Female,1.48,NA,4.8
Central African Republic,2000,Both sexes,3.68,NA,8.8
Central African Republic,2000,Male,5.96,NA,12.9
Central African Republic,2000,Female,1.5,NA,4.8
Chad,2018,Both sexes,1.37,11.8,NA
Chad,2018,Male,2.25,21.3,NA
Chad,2018,Female,0.5,2.3,NA
Chad,2015,Both sexes,1.45,12.2,8.9
Chad,2015,Male,2.39,21.6,10.2
Chad,2015,Female,0.53,2.8,7.5
Chad,2010,Both sexes,6.58,13,8.7
Chad,2010,Male,10.87,22.2,9.5
Chad,2010,Female,2.35,3.8,7.9
Chad,2005,Both sexes,4.62,14,8.5
Chad,2005,Male,7.65,22.7,9.2
Chad,2005,Female,1.65,5.3,7.8
Chad,2000,Both sexes,4.34,15.4,8
Chad,2000,Male,7.21,23.5,8.8
Chad,2000,Female,1.54,7.4,7.2
Chile,2018,Both sexes,9.07,44.7,NA
Chile,2018,Male,13.89,49.2,NA
Chile,2018,Female,4.4,40.3,NA
Chile,2015,Both sexes,9.26,45.9,10.9
Chile,2015,Male,14.2,50.1,17.5
Chile,2015,Female,4.49,41.6,4.4
Chile,2010,Both sexes,9.31,48.3,12.2
Chile,2010,Male,14.3,52.5,19.9
Chile,2010,Female,4.49,44.1,4.7
Chile,2005,Both sexes,8.93,50.7,10.6
Chile,2005,Male,13.76,54.6,17.8
Chile,2005,Female,4.3,46.8,3.5
Chile,2000,Both sexes,7.74,53.4,10.9
Chile,2000,Male,11.96,57.1,18.8
Chile,2000,Female,3.7,49.7,3.1
China,2018,Both sexes,7.05,24.7,NA
China,2018,Male,10.92,47.7,NA
China,2018,Female,3.02,1.8,NA
China,2015,Both sexes,7.15,25.3,9.6
China,2015,Male,11.09,48.7,8.9
China,2015,Female,3.04,2,10.3
China,2010,Both sexes,7.07,26.6,10.9
China,2010,Male,11.04,50.9,9.3
China,2010,Female,2.95,2.3,12.5
China,2005,Both sexes,4.02,27.8,11.7
China,2005,Male,6.32,53,10.1
China,2005,Female,1.63,2.7,13.4
China,2000,Both sexes,3.81,29.2,13.2
China,2000,Male,6.02,55.1,11.2
China,2000,Female,1.52,3.2,15.4
Colombia,2018,Both sexes,5.74,7.9,NA
Colombia,2018,Male,9.3,12.2,NA
Colombia,2018,Female,2.37,3.7,NA
Colombia,2015,Both sexes,5.78,8.9,8.3
Colombia,2015,Male,9.36,13.5,13.4
Colombia,2015,Female,2.39,4.4,3.3
Colombia,2010,Both sexes,5.04,11,7.2
Colombia,2010,Male,8.16,16.2,11.7
Colombia,2010,Female,2.08,5.8,2.7
Colombia,2005,Both sexes,5.41,13.5,6.7
Colombia,2005,Male,8.77,19.2,10.5
Colombia,2005,Female,2.23,7.8,3
Colombia,2000,Both sexes,5.58,16.8,7.6
Colombia,2000,Male,9.04,23.2,11.8
Colombia,2000,Female,2.3,10.5,3.5
Comoros,2018,Both sexes,0.69,19.5,NA
Comoros,2018,Male,1.2,29.9,NA
Comoros,2018,Female,0.18,9.2,NA
Comoros,2015,Both sexes,0.88,21.8,6.8
Comoros,2015,Male,1.53,31.7,9.9
Comoros,2015,Female,0.23,11.9,3.6
Comoros,2010,Both sexes,0.25,26.6,6.6
Comoros,2010,Male,0.44,34.8,9.7
Comoros,2010,Female,0.066,18.3,3.4
Comoros,2005,Both sexes,0.44,33.5,6.5
Comoros,2005,Male,0.76,38.7,9.4
Comoros,2005,Female,0.11,28.3,3.6
Comoros,2000,Both sexes,0.19,43.7,5.1
Comoros,2000,Male,0.33,43.1,7.2
Comoros,2000,Female,0.05,44.3,2.9
Congo,2018,Both sexes,9.27,16.1,NA
Congo,2018,Male,14.63,30.1,NA
Congo,2018,Female,3.96,2,NA
Congo,2015,Both sexes,7.9,15,6.1
Congo,2015,Male,12.47,27.8,8.7
Congo,2015,Female,3.38,2.2,3.5
Congo,2010,Both sexes,6.17,13.5,7.4
Congo,2010,Male,9.73,24.2,10.2
Congo,2010,Female,2.63,2.7,4.5
Congo,2005,Both sexes,3.75,12.2,9.1
Congo,2005,Male,5.92,21,12.5
Congo,2005,Female,1.6,3.3,5.7
Congo,2000,Both sexes,3.45,11.2,10
Congo,2000,Male,5.45,18.4,13.9
Congo,2000,Female,1.48,4,6.1
Costa Rica,2018,Both sexes,4.87,9.8,NA
Costa Rica,2018,Male,7.77,14.7,NA
Costa Rica,2018,Female,2,5,NA
